Location,Price,Photo
"гр. Елена, област Велико Търново",30 000 EUR ,//cdn3.focus.bg/imot/photosimotbg/1/312/1j167698943764312_Kb.jpg
"гр. Елена, област Велико Търново", 150 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/113/1j166513431879113_CA.jpg
"гр. Килифарево, област Велико Търново",46 000 лв. ,//cdn3.focus.bg/imot/photosimotbg/1/998/1j166781705854998_G2.jpg
"с. Александрово, област Велико Търново",8 999 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/087/1j168412656962087_vP.jpg
"с. Арбанаси, област Велико Търново",12 900 EUR ,//cdn3.focus.bg/imot/photosimotbg/1/959/1j168243172342959_22.jpg
"с. Българско Сливово, област Велико Търново",36 000 EUR ,//imotstatic2.focus.bg/imot/photosimotbg/1/495/1j168078081958495_7U.jpg
"с. Лагерите, област Велико Търново", 360 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/062/1j162012247982062_t5.jpg
"с. Леденик, област Велико Търново", 149 900 EUR ,//imotstatic4.focus.bg/imot/photosimotbg/1/551/1j167343645910551_WZ.jpg
"с. Леденик, област Велико Търново", 189 000 EUR ,//cdn3.focus.bg/imot/photosimotbg/1/847/1j164199388529847_vD.jpg
"с. Масларево, област Велико Търново",20 000 лв. ,//imotstatic1.focus.bg/imot/photosimotbg/1/390/1j166193199312390_sq.jpg
"с. Михалци, област Велико Търново",9 000 лв. ,//cdn3.focus.bg/imot/photosimotbg/1/765/1j161297026500765_vR.jpg
"с. Никюп, област Велико Търново",29 000 EUR ,//imotstatic4.focus.bg/imot/photosimotbg/1/252/1j168422898442252_qN.jpg
"с. Обединение, област Велико Търново",18 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/405/1j168432040116405_H4.jpg
"с. Правда, област Велико Търново",27 000 лв. ,//imotstatic3.focus.bg/imot/photosimotbg/1/050/1j167811326507050_wa.jpg
"с. Пчелище, област Велико Търново",62 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/115/1j167682104088115_2w.jpg
"с. Русаля, област Велико Търново",77 000 лв. ,//cdn3.focus.bg/imot/photosimotbg/1/336/1j162202419149336_WI.jpg
"с. Самоводене, област Велико Търново", 180 000 EUR ,//imotstatic4.focus.bg/imot/photosimotbg/1/075/1j167860642124075_ga.jpg
"с. Церова кория, област Велико Търново",85 000 лв. ,//imotstatic3.focus.bg/imot/photosimotbg/1/905/1j167447753956905_Mb.jpg
"с. Церова кория, област Велико Търново",85 000 лв. ,//imotstatic4.focus.bg/imot/photosimotbg/1/757/1j167999297802757_yM.jpg
"с. Церова кория, област Велико Търново", 150 000 EUR ,//imotstatic1.focus.bg/imot/photosimotbg/1/020/1j168404257779020_F.jpg
"гр. Елена, област Велико Търново",17 000 EUR ,//imotstatic2.focus.bg/imot/photosimotbg/1/952/1j166895128255952_fH.jpg
"гр. Елена, област Велико Търново",60 000 лв. ,//imotstatic3.focus.bg/imot/photosimotbg/1/796/1j168242167366796_1O.jpg
"гр. Елена, област Велико Търново",46 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/960/1j168364392576960_jm.jpg
"гр. Елена, област Велико Търново",95 000 лв. ,//cdn3.focus.bg/imot/photosimotbg/1/897/1j168319444499897_MS.jpg
"гр. Елена, област Велико Търново",55 000 EUR ,//imotstatic1.focus.bg/imot/photosimotbg/1/709/1j164864809647709_7x.jpg
"гр. Елена, област Велико Търново",58 000 EUR ,//imotstatic2.focus.bg/imot/photosimotbg/1/806/1j167109200187806_QI.jpg
"гр. Елена, област Велико Търново",58 000 EUR ,//imotstatic4.focus.bg/imot/photosimotbg/1/518/1j167965830846518_iL.jpg
"гр. Елена, област Велико Търново",60 000 EUR ,//imotstatic1.focus.bg/imot/photosimotbg/1/655/1j166324390435655_83.jpg
"гр. Елена, област Велико Търново",85 000 EUR ,//imotstatic2.focus.bg/imot/photosimotbg/1/175/1j167178498832175_qv.jpg
"гр. Елена, област Велико Търново", 100 000 EUR ,//imotstatic1.focus.bg/imot/photosimotbg/1/608/1j165329152354608_wY.jpg
"гр. Елена, област Велико Търново", 155 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/362/1j167724260858362_D0.jpg
"гр. Елена, област Велико Търново", 155 000 EUR ,//imotstatic1.focus.bg/imot/photosimotbg/1/970/1j167768388998970_jm.jpg
"гр. Златарица, област Велико Търново",49 500 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/369/1j167931546585369_hd.jpg
"гр. Килифарево, област Велико Търново", 155 000 EUR ,//imotstatic1.focus.bg/imot/photosimotbg/1/001/1j168250673576001_Jd.jpg
"гр. Лясковец, област Велико Търново",35 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/313/1j162159709462313_mw.jpg
"гр. Лясковец, област Велико Търново",75 000 лв. ,//imotstatic1.focus.bg/imot/photosimotbg/1/741/1j168130431326741_Y9.jpg
"гр. Лясковец, област Велико Търново", 125 000 лв. ,//imotstatic2.focus.bg/imot/photosimotbg/1/686/1j168050589251686_UX.jpg
"гр. Полски Тръмбеш, област Велико Търново",32 000 EUR ,//imotstatic4.focus.bg/imot/photosimotbg/1/633/1j168241923894633_jW.jpg
"гр. Сухиндол, област Велико Търново", 400 000 EUR ,//imotstatic4.focus.bg/imot/photosimotbg/1/835/1j164398074016835_Ek.jpg
"с. Алеково, област Велико Търново",8 700 EUR ,//imotstatic2.focus.bg/imot/photosimotbg/1/962/1j168060596072962_7y.jpg
"с. Арбанаси, област Велико Търново",99 000 EUR ,//imotstatic3.focus.bg/imot/photosimotbg/1/388/1j164690553973388_2M.jpg
